                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6483,                 1.7174,                  1.144,                0.47577,                0.55565,                0.51273,                0.23918,                 1.7441,                 1.6094,                 1.2536,             0.00054816,             0.00054816,             0.00054816
                      2,                 1.6038,                 1.1957,                 1.1167,                0.47451,                0.37228,                0.34182,                0.15861,                 1.7724,                 1.9225,                 1.2496,               0.001082,               0.001082,               0.001082
                      3,                 1.6149,                 1.1844,                 1.1171,                0.41611,                0.41259,                0.30005,                0.12031,                 2.0158,                 1.7865,                 1.3607,              0.0015938,              0.0015938,              0.0015938
                      4,                 1.6328,                 1.1697,                 1.1231,                0.59566,                0.56441,                0.57804,                0.27359,                 1.7058,                 1.3115,                 1.2381,               0.001568,               0.001568,               0.001568
                      5,                 1.5779,                 1.1288,                 1.0918,                0.64036,                0.57216,                0.59875,                0.26783,                  1.786,                   1.29,                  1.251,               0.001535,               0.001535,               0.001535
                      6,                 1.5378,                 1.0723,                 1.0707,                0.54327,                0.60689,                0.60387,                0.27733,                 1.7256,                 1.2824,                 1.2179,               0.001502,               0.001502,               0.001502
                      7,                  1.501,                 1.0183,                 1.0713,                0.67072,                0.59972,                0.65363,                0.32685,                  1.698,                 1.1389,                 1.2166,               0.001469,               0.001469,               0.001469
                      8,                 1.4805,                 0.9953,                 1.0716,                0.60394,                0.63207,                0.63049,                0.31022,                 1.6234,                 1.1435,                 1.1978,               0.001436,               0.001436,               0.001436
                      9,                 1.4673,                0.97621,                 1.0454,                0.67045,                0.61893,                0.65067,                 0.3243,                 1.5856,                 1.1011,                 1.1579,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4176,                0.94608,                 1.0415,                0.68784,                 0.6666,                0.69731,                0.35737,                 1.6219,                 1.1114,                 1.1857,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.4078,                0.94077,                 1.0242,                 0.7743,                0.52283,                0.64842,                0.33581,                 1.5904,                 1.1244,                 1.1556,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3882,                0.89098,                 1.0306,                0.73769,                0.64935,                0.71393,                0.35035,                   1.64,                 1.0191,                 1.1882,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3393,                0.85978,                   1.01,                0.69334,                0.61452,                0.65083,                0.31943,                 1.6646,                   1.13,                 1.2023,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3579,                0.84095,                 1.0079,                0.62575,                0.66094,                 0.6691,                0.34168,                 1.6321,                 1.0261,                 1.1841,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2972,                0.81932,                0.99006,                0.64988,                0.62228,                0.66973,                0.33808,                 1.6165,                  1.073,                 1.1615,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3007,                0.81081,                 0.9879,                0.72994,                0.65163,                0.70945,                0.35644,                 1.6002,                 1.0054,                 1.1699,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2655,                0.77247,                0.98265,                0.72376,                0.64076,                 0.6869,                0.35428,                 1.5583,                 1.0616,                 1.1503,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2532,                0.75054,                0.97135,                0.66689,                0.66483,                0.68974,                0.33859,                 1.6068,                0.97078,                 1.1781,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2446,                0.76995,                0.98102,                0.69549,                0.64585,                0.67547,                0.34443,                 1.6539,                 1.0507,                 1.1901,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2395,                0.74257,                0.97036,                0.71046,                0.65581,                0.73055,                 0.3806,                 1.5981,                 1.0791,                 1.1756,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1985,                0.73212,                0.95875,                0.70185,                0.68722,                0.71332,                 0.3819,                 1.5442,                 1.0276,                 1.1688,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2085,                 0.7063,                0.95223,                0.69471,                    0.7,                0.73728,                0.38593,                  1.548,                0.96675,                 1.1622,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1616,                0.67845,                0.95508,                0.70832,                0.66669,                0.70787,                0.36446,                 1.5939,                 1.0227,                 1.1838,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1515,                0.68616,                0.95205,                0.70319,                0.69777,                0.72514,                0.37157,                 1.5671,                0.95502,                 1.1749,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1454,                0.68018,                0.93976,                0.74351,                0.65696,                0.71677,                0.36876,                 1.5299,                0.91997,                 1.1525,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1703,                0.68714,                0.95502,                0.75211,                0.65658,                0.73546,                0.37605,                  1.559,                 1.0241,                 1.1815,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1471,                0.66923,                0.93713,                 0.7725,                  0.637,                0.72311,                0.36943,                 1.5611,                 1.0035,                 1.1672,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1173,                0.64317,                 0.9309,                0.80253,                0.67999,                0.74808,                0.40489,                 1.5201,                0.90301,                 1.1605,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.0897,                0.63534,                0.92393,                0.75193,                0.63315,                0.69624,                0.35515,                 1.5526,                 1.0674,                 1.1694,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.0649,                 0.6134,                0.92376,                0.72453,                0.71443,                0.74895,                0.38621,                 1.5339,                0.94149,                 1.1751,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.0612,                0.59805,                0.92427,                0.70362,                0.68685,                0.73348,                0.39339,                 1.5413,                0.93534,                 1.1859,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0542,                0.59775,                0.92176,                0.75729,                0.75464,                0.77888,                0.40426,                  1.526,                0.87799,                 1.1684,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.0475,                0.59114,                0.91341,                0.75608,                0.69842,                0.73974,                0.38516,                 1.5521,                0.94686,                 1.1793,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0284,                0.58615,                0.91869,                0.70673,                0.70104,                0.75146,                0.38505,                 1.5379,                0.94338,                 1.1818,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0194,                0.56858,                0.91074,                0.76979,                0.67205,                0.73311,                0.38204,                 1.5555,                 0.9563,                 1.1966,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0046,                0.56759,                0.90507,                0.83296,                0.66879,                0.74245,                0.38492,                 1.5545,                0.92785,                 1.1906,             0.00051177,             0.00051177,             0.00051177
                     37,                0.97605,                0.54935,                0.90654,                0.77238,                0.63967,                0.73125,                0.39257,                 1.5282,                 0.9716,                 1.1806,             0.00047876,             0.00047876,             0.00047876
                     38,                0.97557,                0.54932,                0.90345,                0.75771,                0.67717,                0.73607,                0.38199,                 1.5493,                0.93624,                 1.1983,             0.00044576,             0.00044576,             0.00044576
                     39,                0.97079,                0.53265,                0.90186,                0.76193,                0.71822,                0.76356,                0.39259,                 1.5425,                0.91113,                 1.1949,             0.00041275,             0.00041275,             0.00041275
                     40,                0.92475,                0.50335,                0.89406,                 0.7119,                0.66957,                0.73634,                0.38405,                 1.5448,                  0.968,                 1.2042,             0.00037974,             0.00037974,             0.00037974
                     41,                0.90171,                0.48443,                0.89776,                0.77695,                0.66814,                0.73132,                0.37599,                 1.5609,                 0.9473,                  1.223,             0.00034674,             0.00034674,             0.00034674
                     42,                0.87045,                0.45321,                0.89055,                0.77032,                 0.6625,                0.74331,                0.38451,                  1.562,                0.93485,                 1.2141,             0.00031373,             0.00031373,             0.00031373
                     43,                0.87629,                0.45523,                0.88504,                0.76422,                  0.683,                0.74795,                0.39862,                 1.5338,                0.92746,                 1.1951,             0.00028072,             0.00028072,             0.00028072
                     44,                0.84039,                0.44357,                0.87313,                0.80745,                 0.7151,                0.77185,                0.40072,                 1.5425,                0.89632,                 1.1914,             0.00024772,             0.00024772,             0.00024772
                     45,                0.82972,                0.42958,                0.87438,                0.78517,                0.71892,                0.77597,                0.40479,                  1.527,                0.90753,                 1.2049,             0.00021471,             0.00021471,             0.00021471
                     46,                0.83198,                0.42123,                0.88093,                0.77962,                0.68358,                  0.754,                0.40768,                  1.511,                0.90622,                 1.2047,              0.0001817,              0.0001817,              0.0001817
                     47,                0.80275,                0.41801,                0.87324,                0.81949,                 0.6659,                0.76004,                0.41035,                 1.4935,                 0.9199,                 1.2049,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.7932,                0.40253,                0.87433,                0.75748,                0.70927,                 0.7595,                0.40498,                 1.5223,                0.91048,                 1.2147,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.7976,                0.40949,                0.87365,                0.78011,                0.68255,                 0.7551,                0.39889,                 1.5295,                0.92826,                 1.2205,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.76633,                0.39161,                0.86026,                0.78297,                0.68693,                0.74903,                0.39453,                 1.5463,                  0.902,                 1.2289,             4.9677e-05,             4.9677e-05,             4.9677e-05
