                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3052,                0.85642,                 1.0008,                0.96131,                0.80435,                0.88292,                0.54466,                 1.3547,                   0.77,                 1.0337,             0.00066494,             0.00066494,             0.00066494
                      2,                  1.307,                0.70249,                 0.9924,                0.95037,                0.86371,                0.92647,                0.59167,                 1.2875,                 0.7159,                  0.994,              0.0012657,              0.0012657,              0.0012657
                      3,                 1.2759,                0.67726,                0.98517,                0.93062,                0.76087,                0.81647,                0.52455,                 1.2873,                0.80291,                0.98513,              0.0018004,              0.0018004,              0.0018004
                      4,                 1.2595,                0.66814,                0.98051,                0.93595,                 0.8913,                0.92744,                0.61352,                 1.2107,                0.64852,                0.97008,               0.001703,               0.001703,               0.001703
                      5,                  1.195,                0.60686,                 0.9524,                0.96388,                0.89919,                0.93704,                0.63184,                 1.1789,                0.58948,                0.94797,               0.001604,               0.001604,               0.001604
                      6,                 1.2054,                0.61566,                0.95778,                0.97246,                0.90204,                 0.9424,                  0.628,                 1.1782,                0.57045,                0.95087,               0.001505,               0.001505,               0.001505
                      7,                 1.1739,                0.58065,                 0.9465,                0.96576,                0.90443,                0.93798,                0.63348,                 1.1649,                0.59831,                0.94486,               0.001406,               0.001406,               0.001406
                      8,                 1.1402,                0.55387,                0.93952,                0.94288,                0.88804,                 0.9304,                0.62828,                 1.1599,                0.61479,                0.94658,               0.001307,               0.001307,               0.001307
                      9,                 1.1219,                0.53966,                0.93617,                0.97014,                0.90326,                0.94491,                0.63915,                 1.1531,                0.54499,                 0.9384,               0.001208,               0.001208,               0.001208
                     10,                 1.1236,                0.53378,                0.93164,                 0.9633,                0.91309,                0.94532,                0.65735,                 1.0986,                0.53213,                0.92594,               0.001109,               0.001109,               0.001109
                     11,                 1.1074,                0.51045,                0.94653,                0.97657,                0.91413,                 0.9525,                0.65115,                 1.1441,                0.52934,                0.94431,                0.00101,                0.00101,                0.00101
                     12,                 1.0988,                0.49876,                0.94409,                0.94164,                0.90328,                0.93343,                0.63192,                 1.1404,                0.62021,                0.94185,               0.000911,               0.000911,               0.000911
                     13,                 1.0853,                0.48491,                 0.9401,                0.97046,                0.91072,                 0.9481,                 0.6444,                  1.124,                0.52813,                0.93391,               0.000812,               0.000812,               0.000812
                     14,                 1.0682,                0.46758,                0.93678,                0.97957,                0.91206,                0.95597,                0.66303,                 1.1205,                0.50619,                0.92786,               0.000713,               0.000713,               0.000713
                     15,                 1.0556,                0.45693,                0.93033,                 0.9675,                0.92225,                0.95402,                 0.6605,                 1.1108,                0.49352,                0.92273,               0.000614,               0.000614,               0.000614
                     16,                  1.051,                0.45018,                 0.9271,                0.97756,                0.92334,                0.96031,                0.66955,                 1.1146,                 0.4822,                0.92226,               0.000515,               0.000515,               0.000515
                     17,                 1.0391,                0.43516,                 0.9262,                0.97588,                0.92357,                0.95976,                0.68641,                 1.0926,                0.46059,                0.92037,               0.000416,               0.000416,               0.000416
                     18,                 1.0221,                0.42563,                0.92178,                0.98482,                0.92826,                 0.9596,                0.67378,                 1.0826,                0.45929,                0.91752,               0.000317,               0.000317,               0.000317
                     19,                  1.005,                0.41301,                 0.9157,                0.98109,                0.93063,                 0.9643,                0.68136,                 1.0615,                0.44002,                0.91413,               0.000218,               0.000218,               0.000218
                     20,                0.99573,                0.40164,                0.91292,                0.98149,                0.93207,                0.96434,                0.68511,                 1.0676,                0.42586,                0.91524,               0.000119,               0.000119,               0.000119
