                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2086,                 1.1223,                 1.2818,                0.61774,                0.58861,                0.64827,                0.35109,                 1.4403,                  3.051,                 1.3378,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.2079,                0.82897,                 1.2401,                0.00587,                0.13291,                0.00839,                0.00272,                 4.5669,                 427.85,                 14.863,              0.0012637,              0.0012637,              0.0012637
                      3,                 1.2701,                0.87623,                 1.2846,                0.00696,                0.36709,                0.00468,                0.00153,                 3.5853,                 75.983,                 3.3697,              0.0018254,              0.0018254,              0.0018254
                      4,                 1.2608,                0.86417,                 1.2842,                0.56071,                0.32278,                 0.3329,                0.15138,                 1.9337,                 2.9525,                 1.8608,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2389,                0.80936,                 1.2572,                0.50755,                0.43671,                0.43553,                0.22604,                 1.7994,                 1.6763,                 1.6525,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.1796,                0.77577,                 1.2305,                0.69919,                0.50019,                0.56578,                0.30622,                 1.6771,                 1.5137,                 1.5345,               0.001604,               0.001604,               0.001604
                      7,                 1.1735,                 0.7556,                  1.226,                0.76606,                0.82911,                0.85115,                0.51352,                 1.2517,                0.85816,                   1.23,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.1162,                0.72374,                 1.2198,                0.81352,                0.66266,                0.73326,                0.39526,                 1.5215,                 1.0017,                 1.3606,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.1361,                0.70289,                 1.2039,                0.73215,                0.72661,                 0.7361,                0.44196,                 1.3167,                 1.0427,                 1.2658,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.0986,                  0.691,                 1.1784,                0.83376,                0.75949,                0.85256,                0.50953,                 1.2405,                0.76792,                 1.2551,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.0431,                0.65567,                 1.1682,                0.78588,                 0.8481,                0.84809,                0.49052,                 1.2276,                0.75309,                 1.2331,               0.001208,               0.001208,               0.001208
                     12,                 1.0352,                0.64552,                 1.1603,                0.83961,                0.82911,                0.88508,                0.53375,                  1.265,                0.68379,                 1.2056,              0.0011288,              0.0011288,              0.0011288
                     13,                  0.993,                0.59707,                 1.1157,                 0.8612,                 0.7854,                0.89775,                0.50802,                 1.2481,                 0.7236,                 1.2678,              0.0010496,              0.0010496,              0.0010496
                     14,                0.94732,                0.57385,                 1.1187,                0.86893,                0.75949,                0.85943,                0.44973,                 1.4054,                 0.8179,                 1.3281,              0.0009704,              0.0009704,              0.0009704
                     15,                0.93429,                0.57301,                 1.1075,                0.84178,                0.86076,                0.84891,                 0.4895,                 1.2166,                0.68971,                 1.2179,              0.0008912,              0.0008912,              0.0008912
                     16,                0.79637,                0.49133,                   1.06,                 0.8174,                 0.8481,                0.89847,                 0.5589,                 1.2417,                0.67331,                 1.2188,               0.000812,               0.000812,               0.000812
                     17,                0.79348,                 0.4528,                 1.0392,                0.79076,                0.87975,                 0.8771,                0.54859,                 1.0839,                0.71904,                 1.1579,              0.0007328,              0.0007328,              0.0007328
                     18,                0.73529,                0.41628,                 1.0294,                0.78367,                0.87127,                0.89101,                 0.5871,                 1.1074,                0.69975,                 1.2081,              0.0006536,              0.0006536,              0.0006536
                     19,                0.74125,                0.41845,                 1.0157,                0.84886,                0.75949,                 0.8581,                0.54604,                 1.1582,                 0.7493,                 1.1841,              0.0005744,              0.0005744,              0.0005744
                     20,                0.69939,                0.39698,                 1.0119,                0.77385,                0.89241,                 0.8933,                0.58045,                 1.0935,                0.72282,                 1.1788,              0.0004952,              0.0004952,              0.0004952
                     21,                0.69195,                0.36593,                 1.0046,                0.82615,                0.87225,                0.91964,                0.59591,                  1.156,                0.57256,                 1.2013,               0.000416,               0.000416,               0.000416
                     22,                0.65023,                0.35691,                 0.9823,                0.82344,                0.88555,                0.91594,                0.59571,                 1.1393,                0.60029,                 1.1872,              0.0003368,              0.0003368,              0.0003368
                     23,                0.62285,                0.34038,                0.96244,                 0.8492,                0.87975,                0.90837,                0.58311,                 1.1565,                0.58117,                 1.2205,              0.0002576,              0.0002576,              0.0002576
                     24,                0.61705,                0.32547,                0.95148,                0.85473,                0.85649,                0.89787,                0.58969,                 1.1472,                0.55867,                 1.2024,              0.0001784,              0.0001784,              0.0001784
                     25,                0.59898,                0.31356,                0.96483,                0.85554,                0.86076,                0.89079,                0.59112,                 1.1448,                0.58307,                 1.2077,               9.92e-05,               9.92e-05,               9.92e-05
